PostalCode,SFBB availability (% premises),UFBB availability (% premises),FTTP availability (% premises),oa11cd,Street,City,County
BS105AA,0,100,0,E00073907,Bristol 004C,Bristol 004,Bristol
BS105AB,0,100,0,E00073913,Bristol 004D,Bristol 004,Bristol
BS105AD,0,100,0,E00073913,Bristol 004D,Bristol 004,Bristol
BS105AE,0,100,0,E00073908,Bristol 004D,Bristol 004,Bristol
BS105AF,0,100,0,E00073899,Bristol 004B,Bristol 004,Bristol
BS105AG,0,100,0,E00073909,Bristol 004D,Bristol 004,Bristol
BS105AH,0,100,0,E00073899,Bristol 004B,Bristol 004,Bristol
BS105AJ,0,100,0,E00073899,Bristol 004B,Bristol 004,Bristol
BS105AL,0,100,0,E00073899,Bristol 004B,Bristol 004,Bristol
BS105AN,0,100,0,E00073912,Bristol 010B,Bristol 010,Bristol
BS105AP,0,100,0,E00073909,Bristol 004D,Bristol 004,Bristol
BS105AQ,0,100,0,E00073899,Bristol 004B,Bristol 004,Bristol
BS105AR,0,100,0,E00073910,Bristol 004D,Bristol 004,Bristol
BS105AS,0,100,0,E00073913,Bristol 004D,Bristol 004,Bristol
BS105AT,0,100,0,E00073910,Bristol 004D,Bristol 004,Bristol
BS105AU,0,100,0,E00073910,Bristol 004D,Bristol 004,Bristol
BS105AW,0,100,0,E00073909,Bristol 004D,Bristol 004,Bristol
BS105AX,0,100,0,E00073910,Bristol 004D,Bristol 004,Bristol
BS105AY,0,100,0,E00073909,Bristol 004D,Bristol 004,Bristol
BS105AZ,0,100,0,E00073909,Bristol 004D,Bristol 004,Bristol
BS105BA,0,100,0,E00073898,Bristol 004C,Bristol 004,Bristol
BS105BB,0,100,0,E00073898,Bristol 004C,Bristol 004,Bristol
BS105BD,0,100,0,E00073898,Bristol 004C,Bristol 004,Bristol
BS105BE,0,100,0,E00073916,Bristol 004D,Bristol 004,Bristol
BS105BG,100,0,0,E00073916,Bristol 004D,Bristol 004,Bristol
BS105BH,0,100,0,E00073907,Bristol 004C,Bristol 004,Bristol
BS105BJ,0,100,0,E00073900,Bristol 004C,Bristol 004,Bristol
BS105BL,0,100,0,E00073907,Bristol 004C,Bristol 004,Bristol
BS105BN,0,100,0,E00073907,Bristol 004C,Bristol 004,Bristol
BS105BP,0,100,0,E00073907,Bristol 004C,Bristol 004,Bristol
BS105BS,0,100,0,E00073898,Bristol 004C,Bristol 004,Bristol
BS105BT,0,100,0,E00073900,Bristol 004C,Bristol 004,Bristol
BS105BU,0,100,0,E00073898,Bristol 004C,Bristol 004,Bristol
BS105BW,0,100,0,E00073907,Bristol 004C,Bristol 004,Bristol
BS105BX,0,100,0,E00073908,Bristol 004D,Bristol 004,Bristol
BS105BY,0,100,0,E00073908,Bristol 004D,Bristol 004,Bristol
BS105BZ,0,100,0,E00073898,Bristol 004C,Bristol 004,Bristol
BS105DA,0,100,0,E00073908,Bristol 004D,Bristol 004,Bristol
BS105DB,0,100,0,E00073908,Bristol 004D,Bristol 004,Bristol
BS105DD,0,100,0,E00073908,Bristol 004D,Bristol 004,Bristol
BS105DF,100,0,0,E00073898,Bristol 004C,Bristol 004,Bristol
BS105DJ,0,100,0,E00073900,Bristol 004C,Bristol 004,Bristol
BS105DL,7.7,92.3,0,E00074351,Bristol 006C,Bristol 006,Bristol
BS105DR,0,100,0,E00073906,Bristol 004C,Bristol 004,Bristol
BS105DS,0,100,0,E00073906,Bristol 004C,Bristol 004,Bristol
BS105DT,0,100,0,E00074341,Bristol 006C,Bristol 006,Bristol
BS105DU,0,100,0,E00074341,Bristol 006C,Bristol 006,Bristol
BS105DW,6.7,93.3,0,E00074351,Bristol 006C,Bristol 006,Bristol
BS105DX,0,100,0,E00074341,Bristol 006C,Bristol 006,Bristol
BS105DY,0,100,0,E00074341,Bristol 006C,Bristol 006,Bristol
BS105DZ,0,100,0,E00074341,Bristol 006C,Bristol 006,Bristol
BS105EA,0,100,0,E00073906,Bristol 004C,Bristol 004,Bristol
BS105ED,0,100,0,E00073906,Bristol 004C,Bristol 004,Bristol
BS105EE,0,100,0,E00074341,Bristol 006C,Bristol 006,Bristol
BS105EF,0,100,0,E00074341,Bristol 006C,Bristol 006,Bristol
BS105EG,0,100,0,E00074341,Bristol 006C,Bristol 006,Bristol
BS105EH,0,100,0,E00074222,Bristol 002A,Bristol 002,Bristol
