PostalCode,Maximum download speed (Mbit/s),Average download speed (Mbit/s),oa11cd,Street,City,County
BS105AA,200,91.8,E00073907,Bristol 004C,Bristol 004,Bristol
BS105AB,200,79.1,E00073913,Bristol 004D,Bristol 004,Bristol
BS105AD,200,72.5,E00073913,Bristol 004D,Bristol 004,Bristol
BS105AE,150,56.2,E00073908,Bristol 004D,Bristol 004,Bristol
BS105AF,200,82.3,E00073899,Bristol 004B,Bristol 004,Bristol
BS105AG,200,69.6,E00073909,Bristol 004D,Bristol 004,Bristol
BS105AH,200,78,E00073899,Bristol 004B,Bristol 004,Bristol
BS105AJ,200,65.2,E00073899,Bristol 004B,Bristol 004,Bristol
BS105AL,200,69.5,E00073899,Bristol 004B,Bristol 004,Bristol
BS105AN,200,88.1,E00073912,Bristol 010B,Bristol 010,Bristol
BS105AP,200,76.1,E00073909,Bristol 004D,Bristol 004,Bristol
BS105AQ,200,76.1,E00073899,Bristol 004B,Bristol 004,Bristol
BS105AR,200,77.2,E00073910,Bristol 004D,Bristol 004,Bristol
BS105AS,200,80.8,E00073913,Bristol 004D,Bristol 004,Bristol
BS105AT,200,80.4,E00073910,Bristol 004D,Bristol 004,Bristol
BS105AU,300,87.5,E00073910,Bristol 004D,Bristol 004,Bristol
BS105AW,100,55.7,E00073909,Bristol 004D,Bristol 004,Bristol
BS105AX,200,80.8,E00073910,Bristol 004D,Bristol 004,Bristol
BS105AY,200,71.7,E00073909,Bristol 004D,Bristol 004,Bristol
BS105AZ,200,77.2,E00073909,Bristol 004D,Bristol 004,Bristol
BS105BA,106.3,60.7,E00073898,Bristol 004C,Bristol 004,Bristol
BS105BB,200,73,E00073898,Bristol 004C,Bristol 004,Bristol
BS105BD,200,79.5,E00073898,Bristol 004C,Bristol 004,Bristol
BS105BE,200,93.9,E00073916,Bristol 004D,Bristol 004,Bristol
BS105BH,200,68.6,E00073907,Bristol 004C,Bristol 004,Bristol
BS105BJ,200,72.4,E00073900,Bristol 004C,Bristol 004,Bristol
BS105BL,200,86.1,E00073907,Bristol 004C,Bristol 004,Bristol
BS105BN,200,75.8,E00073907,Bristol 004C,Bristol 004,Bristol
BS105BP,200,78.5,E00073907,Bristol 004C,Bristol 004,Bristol
BS105BS,200,52.1,E00073898,Bristol 004C,Bristol 004,Bristol
BS105BT,106.3,52.5,E00073900,Bristol 004C,Bristol 004,Bristol
BS105BU,200,58.6,E00073898,Bristol 004C,Bristol 004,Bristol
BS105BW,200,121.7,E00073907,Bristol 004C,Bristol 004,Bristol
BS105BX,200,100.8,E00073908,Bristol 004D,Bristol 004,Bristol
BS105BY,200,78.2,E00073908,Bristol 004D,Bristol 004,Bristol
BS105BZ,200,129.6,E00073898,Bristol 004C,Bristol 004,Bristol
BS105DA,150,71.9,E00073908,Bristol 004D,Bristol 004,Bristol
BS105DB,200,53.4,E00073908,Bristol 004D,Bristol 004,Bristol
BS105DD,200,96.9,E00073908,Bristol 004D,Bristol 004,Bristol
BS105DF,39.9,13.4,E00073898,Bristol 004C,Bristol 004,Bristol
BS105DJ,200,98,E00073900,Bristol 004C,Bristol 004,Bristol
BS105DL,200,119.9,E00074351,Bristol 006C,Bristol 006,Bristol
BS105DR,200,83,E00073906,Bristol 004C,Bristol 004,Bristol
BS105DS,200,81.9,E00073906,Bristol 004C,Bristol 004,Bristol
BS105DT,79,55,E00074341,Bristol 006C,Bristol 006,Bristol
BS105DW,106.3,65.6,E00074351,Bristol 006C,Bristol 006,Bristol
BS105DX,200,60,E00074341,Bristol 006C,Bristol 006,Bristol
BS105DZ,200,103.6,E00074341,Bristol 006C,Bristol 006,Bristol
BS105EA,150,70.7,E00073906,Bristol 004C,Bristol 004,Bristol
BS105ED,200,77.3,E00073906,Bristol 004C,Bristol 004,Bristol
BS105EE,200,76.5,E00074341,Bristol 006C,Bristol 006,Bristol
BS105EF,200,66.4,E00074341,Bristol 006C,Bristol 006,Bristol
BS105EG,200,71.8,E00074341,Bristol 006C,Bristol 006,Bristol
BS105EH,200,70.9,E00074222,Bristol 002A,Bristol 002,Bristol
BS105EJ,200,66.4,E00074222,Bristol 002A,Bristol 002,Bristol
BS105EL,152,60.2,E00074220,Bristol 002A,Bristol 002,Bristol
BS105EN,200,67.6,E00073926,Bristol 004C,Bristol 004,Bristol
BS105EP,200,52.6,E00073900,Bristol 004C,Bristol 004,Bristol
BS105EQ,200,81.5,E00074341,Bristol 006C,Bristol 006,Bristol
BS105ES,200,54.2,E00073900,Bristol 004C,Bristol 004,Bristol
BS105ET,200,75.9,E00073900,Bristol 004C,Bristol 004,Bristol
BS105EU,200,74.3,E00073906,Bristol 004C,Bristol 004,Bristol
BS105EX,200,64.3,E00073906,Bristol 004C,Bristol 004,Bristol
BS105EY,100,48.1,E00073926,Bristol 004C,Bristol 004,Bristol
BS105FD,200,33.2,E00074204,Bristol 002E,Bristol 002,Bristol
BS105FE,80,34.9,E00074221,Bristol 002A,Bristol 002,Bristol
BS105FG,73.8,43.6,E00073910,Bristol 004D,Bristol 004,Bristol
BS105FJ,80,32.4,E00074220,Bristol 002A,Bristol 002,Bristol
BS105HD,16.4,11.8,E00074211,Bristol 002B,Bristol 002,Bristol
BS105HE,79.9,22.8,E00074351,Bristol 006C,Bristol 006,Bristol
BS105HG,200,77.3,E00074351,Bristol 006C,Bristol 006,Bristol
BS105HH,200,76,E00074340,Bristol 006C,Bristol 006,Bristol
BS105HJ,106.3,51.2,E00074344,Bristol 006C,Bristol 006,Bristol
BS105HL,200,72.5,E00074344,Bristol 006C,Bristol 006,Bristol
BS105HN,200,103.5,E00074344,Bristol 006C,Bristol 006,Bristol
BS105HQ,200,64.5,E00074351,Bristol 006C,Bristol 006,Bristol
BS105HU,49.4,24.1,E00074209,Bristol 002E,Bristol 002,Bristol
BS105HW,79.9,34.5,E00074344,Bristol 006C,Bristol 006,Bristol
BS105HY,200,78,E00074344,Bristol 006C,Bristol 006,Bristol
BS105HZ,200,84.2,E00074340,Bristol 006C,Bristol 006,Bristol
BS105JA,200,96.6,E00074344,Bristol 006C,Bristol 006,Bristol
BS105JD,200,75.9,E00074340,Bristol 006C,Bristol 006,Bristol
BS105JE,150,47.7,E00074340,Bristol 006C,Bristol 006,Bristol
BS105JF,200,57.9,E00074340,Bristol 006C,Bristol 006,Bristol
BS105JG,200,105.1,E00074340,Bristol 006C,Bristol 006,Bristol
BS105JH,200,100.9,E00074220,Bristol 002A,Bristol 002,Bristol
BS105JJ,300,60.7,E00074221,Bristol 002A,Bristol 002,Bristol
BS105JL,200,55.4,E00074221,Bristol 002A,Bristol 002,Bristol
BS105JN,200,86.4,E00074215,Bristol 002A,Bristol 002,Bristol
BS105JP,300,112.2,E00074215,Bristol 002A,Bristol 002,Bristol
BS105JQ,200,55.7,E00074222,Bristol 002A,Bristol 002,Bristol
BS105JR,100,59,E00074209,Bristol 002E,Bristol 002,Bristol
BS105JS,106.3,52.9,E00074219,Bristol 002A,Bristol 002,Bristol
