PostalCode,Price,Date,Town.City,County,Street
BS105AA,400000,2023-03-01,BRISTOL,Bristol,Bristol 004C
BS105AA,345000,2021-03-10,BRISTOL,Bristol,Bristol 004C
BS105AA,364500,2023-02-01,BRISTOL,Bristol,Bristol 004C
BS105AA,350000,2023-04-11,BRISTOL,Bristol,Bristol 004C
BS105AA,333000,2021-03-29,BRISTOL,Bristol,Bristol 004C
BS105AA,337500,2022-03-11,BRISTOL,Bristol,Bristol 004C
BS105AB,425000,2023-04-20,BRISTOL,Bristol,Bristol 004D
BS105AB,407000,2023-08-01,BRISTOL,Bristol,Bristol 004D
BS105AD,115000,2020-01-09,BRISTOL,Bristol,Bristol 004D
BS105AD,315000,2020-05-22,BRISTOL,Bristol,Bristol 004D
BS105AE,195000,2023-08-25,BRISTOL,Bristol,Bristol 004D
BS105AE,200000,2022-08-26,BRISTOL,Bristol,Bristol 004D
BS105AL,257500,2020-03-06,BRISTOL,Bristol,Bristol 004B
BS105AL,405000,2022-07-22,BRISTOL,Bristol,Bristol 004B
BS105AL,350500,2021-12-17,BRISTOL,Bristol,Bristol 004B
BS105AN,355000,2023-08-22,BRISTOL,Bristol,Bristol 010B
BS105AP,150000,2021-07-28,BRISTOL,Bristol,Bristol 004D
BS105AQ,308000,2023-06-09,BRISTOL,Bristol,Bristol 004B
BS105AS,402000,2021-03-15,BRISTOL,Bristol,Bristol 004D
BS105AS,423000,2021-05-27,BRISTOL,Bristol,Bristol 004D
BS105AS,430000,2023-12-06,BRISTOL,Bristol,Bristol 004D
BS105AT,463000,2020-05-12,BRISTOL,Bristol,Bristol 004D
BS105AW,175000,2022-02-18,BRISTOL,Bristol,Bristol 004D
BS105AX,195000,2021-06-11,BRISTOL,Bristol,Bristol 004D
BS105AY,170000,2021-10-15,BRISTOL,Bristol,Bristol 004D
BS105AZ,310000,2020-11-10,BRISTOL,Bristol,Bristol 004D
BS105AZ,320000,2021-09-29,BRISTOL,Bristol,Bristol 004D
BS105BB,340000,2022-04-14,BRISTOL,Bristol,Bristol 004C
BS105BB,361000,2022-03-11,BRISTOL,Bristol,Bristol 004C
BS105BB,325000,2021-03-12,BRISTOL,Bristol,Bristol 004C
BS105BD,450000,2022-12-02,BRISTOL,Bristol,Bristol 004C
BS105BE,347500,2023-06-29,BRISTOL,Bristol,Bristol 004D
BS105BH,580000,2023-08-08,BRISTOL,Bristol,Bristol 004C
BS105BJ,625000,2020-11-26,BRISTOL,Bristol,Bristol 004C
BS105BJ,425000,2020-01-31,BRISTOL,Bristol,Bristol 004C
